Entity,Code,Year,Expectancy,Expenditure,Population,GDP,Physicians,Undernourishment,Obesity
Switzerland,CHE,2022,83.2003,10667.949,8792180,82777.3,4.477,2.5,13.74016
Syria,SYR,2022,72.7898,453.58768,22462170,4454.8535,1.521,34,31.17818
Taiwan,TWN,2022,80.1569,,23420107,,,3.7,
Tajikistan,TJK,2022,71.5624,364.41626,10182228,4213.7563,1.939,8.7,20.80941
Tanzania,TZA,2022,66.8786,92.64774,64711822,3546.981,0.134,23.8,11.39353
Thailand,THA,2022,75.2913,1107.2104,71735321,20762.795,0.541,5.6,14.50924
Togo,TGO,2022,62.2898,149.0724,9089742,2739.6882,0.08,12.8,10.44978
Tonga,TON,2022,72.6353,520.0485,105053,6810.61,1.014,,70.53527
Trinidad and Tobago,TTO,2022,73.3308,1811.0891,1495923,30784.111,4.157,12.6,29.15095
Tunisia,TUN,2022,76.0505,885.2604,12119338,12712.224,1.315,3.2,28.264
Turkey,TUR,2022,77.5913,1386.5269,87058469,33520.812,2.236,2.5,34.25613
Turkmenistan,TKM,2022,69.9133,873.348,7230197,17119.574,1.916,4.1,20.1582
Tuvalu,TUV,2022,66.8516,1126.5308,10012,5498.1846,1.346,,63.93328
Uganda,UGA,2022,67.6747,127.35548,47312718,2724.906,0.191,36.9,6.88494
Ukraine,UKR,2022,72.6582,1094.8129,41048768,13787.121,3.531,5.8,29.20289
United Arab Emirates,ARE,2022,80.4868,3813.762,10242085,70075.63,2.915,2.7,31.54617
United Kingdom,GBR,2022,81.0744,6449.4727,68179315,53139.152,3.143,2.5,28.70708
United States,USA,2022,77.9789,12434.434,341534041,72679.26,3.681,2.5,42.86787
Uruguay,URY,2022,76.4682,2568.0718,3390913,30804.703,4.674,2.5,34.66752
Uzbekistan,UZB,2022,72.1465,716.38666,34938953,9607.562,2.805,2.5,28.51616
Vanuatu,VUT,2022,71.3016,137.91171,313061,3222.836,0.164,7.9,19.94757
Venezuela,VEN,2022,72.5656,131.27098,28213015,,,17.6,22.83876
Vietnam,VNM,2022,74.5025,610.7222,99680656,12979.764,1.107,5.2,2.0817
Western Sahara,ESH,2022,71.1432,,568746,,,,
Yemen,YEM,2022,67.9517,109.28855,38222878,,0.165,39.5,11.55534
Zambia,ZMB,2022,65.2791,207.55191,20152935,3585.1238,0.324,35.4,9.4169
Zimbabwe,ZWE,2022,62.3601,95.99164,16069061,5036.761,0.127,38.1,12.427
